,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
9342,Blue,1,1,1,1,1,1,0,10,3,1,4,0,0,2078,37,35,78,272406,206013,34100,64314,32158,3357,44139,113110,58842,16594,97,152,61900,64308,4457,61611,441,131,78,12,1148,78
9343,Red,0,0,0,0,0,0,0,2,0,0,1,0,0,2078,35,37,46,228894,324437,47916,60134,41927,4457,29656,96131,19087,8552,110,177,67166,65557,3357,56187,498,128,88,16,1275,75
9344,Blue,1,1,1,1,1,1,1,9,2,1,3,0,1,2393,44,41,53,212900,579016,53128,45951,74834,8035,38749,85023,93619,22705,97,149,117777,45532,3289,71071,539,228,122,48,955,82
9345,Red,0,0,0,0,0,0,0,5,0,0,2,0,0,2393,40,44,47,501509,145018,27950,112970,15233,3289,31207,116999,33199,16697,115,182,46621,108024,8034,66004,667,81,55,3,1330,82
9346,Blue,0,1,0,0,0,0,0,3,0,0,0,0,0,2071,34,35,51,319741,225155,45452,63160,20685,5360,51705,118384,11096,7661,66,91,55554,87329,7819,58659,507,184,123,41,928,76
9347,Red,1,0,1,1,1,1,1,7,1,1,5,0,1,2071,35,34,52,160304,389489,50260,52388,55868,7819,28148,140304,76348,13450,116,83,65934,46666,5719,62066,496,144,80,12,748,80
9348,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,1434,13,37,12,98558,196497,24859,27515,19248,1733,14784,39660,7935,2572,36,67,12363,62679,3631,32440,305,92,73,9,406,57
9349,Red,1,1,1,0,0,1,1,7,0,0,3,0,1,1434,37,15,23,24431,325609,30257,9457,45240,3633,20670,59852,50784,18786,49,169,28737,47671,1730,42858,345,116,64,16,1126,65
9350,Blue,1,0,0,1,0,0,0,9,2,0,3,0,0,2209,50,52,61,118163,495525,37366,39659,98312,8609,27273,82213,47721,18778,103,91,33193,109626,3675,65577,460,182,100,52,1117,79
9351,Red,0,1,1,0,0,1,1,3,0,0,2,0,1,2209,52,50,56,155771,308279,65451,30977,81641,4627,55836,121784,32971,7778,71,169,40615,123928,10049,62690,476,88,51,4,1518,79
9352,Blue,1,1,1,0,0,1,1,6,0,0,3,0,1,1452,23,5,25,134739,231242,15550,36176,19814,1599,17187,27084,41078,15807,79,91,15575,36923,1909,41230,414,116,55,27,1163,61
9353,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,5,23,2,132270,110957,15982,14807,11936,1910,11819,38709,1381,1286,29,78,36636,33486,1597,27479,349,46,42,0,814,54
9354,Blue,0,0,0,0,0,0,0,2,0,0,0,0,0,1250,13,23,10,143187,130404,10642,31974,16706,852,6405,32796,10524,9506,30,97,16211,41121,2308,30107,301,84,56,20,1063,54
9355,Red,1,1,1,0,0,1,0,4,0,0,1,0,0,1250,23,13,15,84896,242142,22062,15125,26270,2309,10437,42689,22222,14835,35,39,32749,35578,850,37459,421,72,32,22,498,57
9356,Blue,1,0,1,0,0,1,0,1,0,0,2,0,0,1214,25,11,10,76702,213257,9963,25019,23834,1466,13952,26947,17009,5981,45,38,9732,41757,156,31055,235,116,69,32,455,59
9357,Red,0,1,0,0,0,0,0,0,0,0,0,0,0,1214,11,25,2,35853,166796,12544,8249,25661,156,9759,32723,1458,1458,47,83,25020,35547,1466,28020,369,12,4,0,642,52
9358,Blue,1,1,1,0,1,0,0,11,2,2,3,0,0,2052,57,41,51,135452,533861,71654,32241,100862,9253,22164,130141,88054,30177,123,185,37254,99214,2984,70264,625,108,44,21,1486,84
9359,Red,0,0,0,1,0,1,0,7,1,0,2,0,0,2052,41,57,57,248628,361070,19912,34706,71798,2984,54064,114902,31670,14295,99,124,33177,129644,9252,62151,446,197,105,45,1422,77
9360,Blue,0,0,0,0,0,0,1,2,0,0,1,0,1,2200,38,45,58,226868,348841,23942,48690,69118,3283,24258,123613,24846,2850,102,179,55915,76699,8809,54207,490,144,95,4,783,76
9361,Red,1,1,1,1,1,1,0,9,1,2,4,0,0,2200,45,38,64,335093,350359,32774,55555,57412,8809,50654,162314,83647,19152,137,267,52213,116490,6282,68665,495,195,126,24,1601,81
9362,Blue,1,0,1,1,0,0,1,10,2,1,3,0,1,2095,39,40,47,248014,443284,63019,54217,61776,6853,23170,91744,82067,21553,134,89,48889,78663,4793,67031,635,199,116,27,1286,83
9363,Red,0,1,0,0,1,1,0,5,0,1,2,0,1,2095,39,39,54,249787,324658,25763,46142,46568,4795,18383,109883,59639,12891,139,145,56299,83887,6850,61981,569,117,88,1,1188,78
9364,Blue,0,0,0,0,0,1,0,1,0,0,2,0,0,1505,17,23,25,23002,272664,13166,5435,44675,1062,23608,43289,14695,3494,94,175,26468,54880,678,36240,221,148,92,32,659,57
9365,Red,1,1,1,0,0,0,0,5,0,0,1,0,0,1505,23,17,33,106913,264238,16249,23471,37357,678,11803,47511,25855,15726,92,131,6399,64706,1062,43006,487,67,42,11,482,61
9366,Blue,0,0,1,0,0,0,0,4,0,0,1,0,0,2140,42,52,75,95281,460578,49330,29949,82752,3733,14193,57256,26084,13821,144,72,37895,88872,7713,65494,647,28,14,0,1110,76
9367,Red,1,1,0,1,0,1,0,11,6,0,3,0,0,2140,50,42,73,198318,482924,56127,37896,66024,7714,51338,118325,51891,27814,81,121,31843,115637,3824,68748,469,249,122,87,1018,77
9368,Blue,1,0,1,1,0,0,0,7,1,0,0,0,0,2154,35,46,52,288360,403469,22545,50194,51507,2748,47812,166871,25477,16378,106,156,36120,126995,5131,63916,493,238,135,53,1373,78
9369,Red,0,1,0,0,0,1,0,7,1,0,3,0,0,2154,46,35,52,156193,438913,33375,31252,86448,5132,29352,100337,42913,21901,94,150,51766,83334,2748,62605,560,89,56,9,711,78
9370,Blue,1,0,0,1,0,1,0,6,1,0,2,0,0,1743,42,17,76,152349,235271,19955,32921,55771,2807,35953,43810,29271,16471,64,127,38111,38057,326,50404,395,48,24,12,843,67
9371,Red,0,1,1,0,0,0,0,1,0,0,0,0,0,1743,17,42,20,183817,181267,24588,37880,24308,326,11696,79982,7282,6117,73,130,33242,74403,2806,41141,424,60,37,8,924,60
9372,Blue,0,0,0,0,0,1,0,0,0,0,1,0,0,1297,7,40,4,33839,164424,5067,6142,21402,1054,6911,34286,8581,3077,39,47,39771,34034,6098,24810,228,53,34,0,649,48
9373,Red,1,1,1,1,0,0,0,8,1,0,1,0,0,1297,40,7,50,146692,119968,35720,39772,21485,6099,7501,18884,26808,21443,41,104,6286,33068,1054,41044,352,20,0,16,563,61
9374,Blue,1,1,0,1,0,1,0,10,2,0,5,0,0,2162,46,21,63,362400,305003,28373,73261,56397,3822,43894,68866,63155,21550,69,108,61179,68256,2071,65553,500,159,67,53,1045,80
9375,Red,0,0,1,0,0,0,1,5,0,0,0,0,1,2162,21,46,26,248736,304314,22187,60353,34904,2072,45789,71331,30576,15739,80,139,73919,78805,3821,54389,541,49,30,0,983,70
9376,Blue,0,0,0,0,0,1,0,0,0,0,2,0,0,1886,34,46,38,157220,317029,55014,28519,55232,11354,26142,93547,21485,1636,46,116,25365,91665,598,50525,383,128,70,19,798,72
9377,Red,1,1,1,1,0,0,1,10,2,0,2,0,1,1886,46,38,47,162354,364239,21716,25365,66567,598,21469,85193,55609,28650,57,104,32668,89529,11355,56007,454,128,60,39,833,70
9378,Blue,0,1,1,1,1,1,1,7,3,1,1,0,1,1924,19,35,17,71457,431006,21410,8681,41909,1946,15670,63533,54099,18406,33,24,35461,73197,2761,51261,549,126,53,46,723,69
9379,Red,1,0,0,0,0,0,0,8,2,0,1,0,0,1924,35,21,36,176764,283075,9807,34265,40209,2761,20401,65483,31237,19071,64,103,9141,57500,2518,50927,400,51,24,8,641,69
9380,Blue,1,1,1,0,0,1,0,3,0,0,1,0,0,984,22,5,21,29359,131216,11146,6289,18009,0,8781,14034,16531,10292,19,17,13146,19756,310,27815,209,39,17,8,304,44
9381,Red,0,0,0,0,0,0,0,1,0,0,0,0,0,984,5,22,1,63523,41168,6305,13148,4476,310,2802,13147,5220,5220,8,26,6290,25807,0,18302,183,0,0,0,188,37
9382,Blue,1,0,0,0,0,0,0,7,0,0,0,0,0,1352,20,14,21,74181,285683,15994,11170,33432,1814,13852,34627,24979,19349,40,69,12579,41498,847,40487,495,51,12,24,486,59
9383,Red,0,1,1,0,0,1,0,1,0,0,1,0,0,1352,14,20,14,72250,173303,10893,12438,25918,848,7548,36591,8004,4273,47,87,11170,43380,1814,32061,380,32,21,0,394,56
9384,Blue,0,1,0,0,0,0,0,0,0,0,0,0,0,1566,16,37,19,145830,136515,17218,40870,12297,26,9613,46668,11184,7049,40,129,37819,43191,1738,36726,340,12,9,0,477,61
9385,Red,1,0,1,1,1,1,1,10,2,1,3,0,1,1566,37,16,30,150183,250188,40430,37819,23095,1738,19926,65095,70480,24930,51,110,42104,43903,26,49818,366,136,57,33,675,68
9386,Blue,1,0,1,1,0,0,0,8,1,0,0,0,0,1373,42,32,31,80679,280349,31307,26034,50246,1390,8627,48751,28914,26371,21,103,12509,59950,6002,45328,370,20,9,9,777,59
9387,Red,0,1,0,0,0,1,0,3,0,0,1,0,0,1373,32,43,22,48240,234754,21165,11529,43289,6003,12323,52566,17326,10557,34,56,26258,65286,1389,37893,325,52,38,0,608,55
9388,Blue,0,0,0,0,0,0,0,2,0,0,0,0,0,1648,22,34,16,51692,276898,38748,13140,34339,1870,10671,31852,10191,7667,24,73,42650,37834,1041,39222,358,100,74,8,1232,63
9389,Red,1,1,1,1,0,1,0,8,2,0,1,0,0,1648,34,22,17,241709,162977,19899,41501,20588,1041,15864,42966,26720,18377,38,68,13394,59280,1870,46467,479,38,14,2,829,65
9390,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,874,6,32,4,16251,37465,8762,4462,10216,969,4159,15406,0,0,4,9,2672,40815,315,15405,56,0,0,0,127,30
9391,Red,1,1,1,1,0,1,0,10,2,0,1,0,0,874,32,7,19,12674,235890,10599,2672,35982,315,6213,17537,35697,30459,13,25,4619,30584,969,35093,292,62,24,25,179,49
